OLD PROCEDURE: Removing passenger with lastname Delacruz, row 22, and priority value 322
OLD PROCEDURE: Removing passenger with lastname Trevino, row 21, and priority value 321
OLD PROCEDURE: Removing passenger with lastname Dorsey, row 18, and priority value 318
OLD PROCEDURE: Removing passenger with lastname Howe, row 18, and priority value 318
OLD PROCEDURE: Removing passenger with lastname Church, row 15, and priority value 315
OLD PROCEDURE: Removing passenger with lastname Velasquez, row 12, and priority value 312
OLD PROCEDURE: Removing passenger with lastname Serrano, row 26, and priority value 226
OLD PROCEDURE: Removing passenger with lastname Mccullough, row 25, and priority value 225
OLD PROCEDURE: Removing passenger with lastname Clements, row 24, and priority value 224
OLD PROCEDURE: Removing passenger with lastname Stephenson, row 23, and priority value 223
OLD PROCEDURE: Removing passenger with lastname Snider, row 22, and priority value 222
OLD PROCEDURE: Removing passenger with lastname York, row 21, and priority value 221
OLD PROCEDURE: Removing passenger with lastname Tyson, row 20, and priority value 220
OLD PROCEDURE: Removing passenger with lastname Mcpherson, row 19, and priority value 219
OLD PROCEDURE: Removing passenger with lastname Sampson, row 19, and priority value 219
OLD PROCEDURE: Removing passenger with lastname Woodward, row 18, and priority value 218
OLD PROCEDURE: Removing passenger with lastname Alston, row 17, and priority value 217
OLD PROCEDURE: Removing passenger with lastname Bradshaw, row 16, and priority value 216
OLD PROCEDURE: Removing passenger with lastname Ochoa, row 15, and priority value 215
OLD PROCEDURE: Removing passenger with lastname Mcfadden, row 13, and priority value 213
OLD PROCEDURE: Removing passenger with lastname Golden, row 13, and priority value 213
OLD PROCEDURE: Removing passenger with lastname Mercer, row 12, and priority value 212
OLD PROCEDURE: Removing passenger with lastname Travis, row 11, and priority value 211
OLD PROCEDURE: Removing passenger with lastname Burks, row 11, and priority value 211
OLD PROCEDURE: Removing passenger with lastname Sanford, row 10, and priority value 210
OLD PROCEDURE: Removing passenger with lastname Finch, row 10, and priority value 210
OLD PROCEDURE: Removing passenger with lastname Hayden, row 10, and priority value 210
OLD PROCEDURE: Removing passenger with lastname Keith, row 9, and priority value 209
OLD PROCEDURE: Removing passenger with lastname Sears, row 8, and priority value 208
OLD PROCEDURE: Removing passenger with lastname Duffy, row 7, and priority value 207
OLD PROCEDURE: Removing passenger with lastname Duke, row 6, and priority value 206
OLD PROCEDURE: Removing passenger with lastname Cooley, row 6, and priority value 206
OLD PROCEDURE: Removing passenger with lastname Stafford, row 6, and priority value 206
OLD PROCEDURE: Removing passenger with lastname Shannon, row 4, and priority value 204
OLD PROCEDURE: Removing passenger with lastname Herman, row 3, and priority value 203
OLD PROCEDURE: Removing passenger with lastname Rush, row 3, and priority value 203
OLD PROCEDURE: Removing passenger with lastname Kent, row 2, and priority value 202
OLD PROCEDURE: Removing passenger with lastname Knapp, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Mcknight, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Camacho, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname English, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Potts, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Cleveland, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Reilly, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Livingston, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Hull, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Rowland, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Vance, row 24, and priority value 124
OLD PROCEDURE: Removing passenger with lastname Calhoun, row 24, and priority value 124
OLD PROCEDURE: Removing passenger with lastname Gamble, row 24, and priority value 124
OLD PROCEDURE: Removing passenger with lastname Talley, row 24, and priority value 124
OLD PROCEDURE: Removing passenger with lastname Farrell, row 24, and priority value 124
OLD PROCEDURE: Removing passenger with lastname Vang, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Riggs, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Joyce, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Ellison, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Holden, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Nixon, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Shields, row 22, and priority value 122
